MASTER_DATA_ID__c|Name|CS_POP_Label__c|Status__c|Provider__c|Type__c|CS_POP_Options__c|Facility_Type__c|Address__r.Name|CS_City__c|CS_Country__c|CS_Region__c|Latitude__c|Longitude__c|Local_Access_Providers__c|Workflow_Queue__c|On_Net_POP__c|Tier__c|Supported_AS__c|FS_Waiver_IPVPN__c|FS_Waiver_Internet__c|FS_Waiver_Colo__c|Is_LOA_Mandatory|LL_Test_By_FS__c|Supported_By__c|Facility_Name__c|Operate__c|Facility_Provider__c|Facility_Service_Status__c|Power_Upgrade_Availability__c|Annual Price Increment|API_Applicable_Product|Standard__c|Facility_Workflow_Queue__c|Customer__c|Facility_Certfication__c|Metro Connect|Campus Cross Connect|NNIA/B Suppliers|ENNI Suppliers|Additional_Information__c|EPL|EPL Prime|IPL|ICBS|EPLX|GID|IPT|TWI|TID|GIE|IPVPN|RSA|SMA|VPLS|EVPL|COLO|TPN|GMN|CLSCOLO|SATDPL|SATTAS|SATVST|SATVOF|SATVSP|SATUPL|SATDNL|SATTND|SATVNO|SATFLR|SATRCK|SATXCN|SATPRE|IPX|FABRIC|METAL|Global_IPVPN_Interconnect|NEXTIP_Interconnect|NFV_AVAILABLE|PRE_WIRING|EXCHANGE_Interconnect|GMN Node Type|SITE|UIA|CABLE|VPG
ZZZZ_AFGHANISTAN|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|AFGHANISTAN|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||CMC Networks||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_ALGERIA|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|ALGERIA|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_AMERICAN SAMOA|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|AMERICAN SAMOA|Asia, Australia|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_ANGOLA|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|ANGOLA|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||CMC Networks, Internet Solutions||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_ANTARCTICA|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|ANTARCTICA|South & Central America|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_ANTIGUA AND BARBUDA|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|ANTIGUA AND BARBUDA|South & Central America|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_ARGENTINA|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|ARGENTINA|South & Central America|||||Off-Net|||||||No|||||||||||||||AT&T,Inteliglobe Communications,Lumen||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_ARMENIA|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|ARMENIA|South & Central America|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
AAFS|AAFS|AAFS|Decommissioned|Telstra International|Point of Presence|GID;IPT;||PIPE Data Centre L2 132 Franklin St Adelaide City SA AUSTRALIA ADELAIDE 5000|ADELAIDE|AUSTRALIA|Asia, Australia|-34.927135|138.594194|Telstra Australia|FS Australia/New Zealand|On-Net||||||FALSE|No|FS||||||||||||||||||||||GID|IPT||||||||||||||||||||||||||||||||||||||
AAHS|AAHS|AAHS|Decommissioned|Telstra International|Point of Presence|COLO;|Data Centre|274 Hindley St Adelaide City SA AUSTRALIA ADELAIDE 5000|ADELAIDE|AUSTRALIA|Asia, Australia|-34.92308|138.5892|Telstra Australia|FS Australia/New Zealand|On-Net|||||No|FALSE|No|FS|Metronode ADE1|Resell|Metronode|||||||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
AYDB|AYDB|AYDB|Live - as designed|YourDC|Infrastructure||Data Centre||ADELAIDE|AUSTRALIA|Asia, Australia|-34.96846|138.60824|Telstra Australia||Off-Net|||||||||YourDC DC1||YourDC||||||||||||||||||||||||||||||||||||||||||||||||||||||Media Node||||
AYDW|AYDW|AYDW|Live - as designed|YourDC|Infrastructure||Data Centre||ADELAIDE|AUSTRALIA|Asia, Australia|-34.74049|138.64401|Telstra Australia||Off-Net|||||||||YourDC DC2||YourDC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
T001|T001|T001|Live - as designed|Telstra Australia|Point of Presence|TWI;TID;|PoP|111-139 Flinders St, Adelaide, SA|ADELAIDE|AUSTRALIA|Asia, Australia|-34.926863|138.605817|Telstra Australia||Off-Net||||||FALSE|No|||||||||||||||||FLNF||||||||TWI|TID||||||||||||||||||||||||||||||||||||
T003|T003|T003|Live - as designed|Telstra Australia|Point of Presence|TWI;TID;|PoP|67 Waymouth St, Adelaide, SA|ADELAIDE|AUSTRALIA|Asia, Australia|-34.926026|138.597021|Telstra Australia||Off-Net||||||FALSE|No|||||||||||||||||WAYM||||||||TWI|TID||||||||||||||||||||||||||||||||||||
FLNH|FLNH|FLNH|Live - as designed|Telstra Australia|Point of Presence|COLO;|Data Centre|115 FLINDERS ST, ADELAIDE 5000 SA|ADELAIDE|AUSTRALIA|Asia, Australia|||||On-Net|||||No|FALSE|No||Flinders Exchange (FLNH)|Owned|Telstra Corporation||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
AAE1|AAE1|AAE1|Live - as designed|Equinix|Infrastructure|COLO;|Data Centre|274 Hindley St, Adelaide, Adelaide, SA 50002, Australia|ADELAIDE|AUSTRALIA|Asia, Australia|-34.92325|138.58921|Telstra Australia||Off-Net|||||Yes||||Equinix AE1, Adelaide|Resell|Equinix|||3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
ZZZZ_AUSTRALIA|ZZZZ|ZZZZ|Live - as designed|||TID;GIE;IPVPN;|||ANY|AUSTRALIA|Asia, Australia|||||Off-Net|||||||No|||||||||||||||Telstra|||||||||||TID|GIE|IPVPN||||||||||||||||||||||||||||||||||
