Cable System|Cable type (Backhaul/Subsea)|Segment|A-end Country|A-End PoP|B-end PoP|B-end Country|RTD(ms)|Weight|Supplier/Provider|Status|On-Net|Data Quality (Segment)|Data Quality (RTD)
AUSTRALIA Backhaul|Backhaul|AU01|AUSTRALIA|SYDO|SXBR|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU02|AUSTRALIA|SYGS|SYDO|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU03|AUSTRALIA|SYDP|SXBR|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU04|AUSTRALIA|SYEQ|SYDP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU05|AUSTRALIA|SYEQ|SXAL|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU06|AUSTRALIA|SYGS|SXAL|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU101|AUSTRALIA|SYDP|SYDO|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU102|AUSTRALIA|SYEQ|SYDO|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU103|AUSTRALIA|SYEQ|SYDP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU104|AUSTRALIA|SYDO|PTHW|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU105|AUSTRALIA|SYDP|PTHW|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU106|AUSTRALIA|SYDP|SAXL|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Update - Incorrect POPs|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU107|AUSTRALIA|SYDP|SXBR|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU108|AUSTRALIA|SYDO|PTHP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU109|AUSTRALIA|SYDP|PTHW|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU110|AUSTRALIA|SYDO|SXBR|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU111|AUSTRALIA|SYDO|SXAL|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU112|AUSTRALIA|PTHW|PTHP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU113|AUSTRALIA|PTHW|PTHG|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU114|AUSTRALIA|PTHP|PTHG|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU115|AUSTRALIA|PTHP|APE2|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU116|AUSTRALIA|SYDP|PTHP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU117|AUSTRALIA|PTHW|PTHP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU118|AUSTRALIA|SYDP|PTHP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU119|AUSTRALIA|SYEQ|PTHW|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU120|AUSTRALIA|SYGS|SYDO|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU121|AUSTRALIA|SYEQ|PTHW|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU122|AUSTRALIA|SYGS|SYDP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU123|AUSTRALIA|SYEQ|SYDO|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU201|AUSTRALIA|SXAL|SASX|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU206|AUSTRALIA|SYDO|EXBN|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU207|AUSTRALIA|T124|SYDO|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU208|AUSTRALIA|SYDP|EXBN|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
AUSTRALIA Backhaul|Backhaul|AU209|AUSTRALIA|T124|SYDP|AUSTRALIA|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
CANADA Backhaul|Backhaul|US136|UNITED STATES OF AMERICA|EQCH|CTC1|CANADA|#N/A|10|Telstra International|In Service|Yes|Create|Unable to reconcile against source
CANADA Backhaul|Backhaul|US137|UNITED STATES OF AMERICA|UNSE|CTC1|CANADA|#N/A|10|Telstra International|In Service|Yes|Create|Unable to reconcile against source
DENMARK Backhaul|Backhaul|EU135|GERMANY|GFR4|DCPH|DENMARK|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
DENMARK Backhaul|Backhaul|EU136|UNITED KINGDOM|ULHC|DCPH|DENMARK|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU105|UNITED KINGDOM|ULCO|FMS1|FRANCE|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU106|UNITED KINGDOM|ULCN|FMS1|FRANCE|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU107|GERMANY|FRAN|FMS1|FRANCE|#N/A|10|Telstra International|In Service|Yes|Create|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU109|UNITED KINGDOM|ULHC|FMS2|FRANCE|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU110|GERMANY|FRAN|FMS2|FRANCE|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU111|UNITED KINGDOM|ULCN|FMS2|FRANCE|#N/A|10|Telstra International|In Service|Yes|Match|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU115|SWEDEN|STIX|FMS1|FRANCE|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU126|GERMANY|GFR4|FMS1|FRANCE|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU127|GERMANY|FRAN|FMS1|FRANCE|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU128|UNITED KINGDOM|ULCN|FMS1|FRANCE|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU134|GERMANY|GFR4|FPA4|FRANCE|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
FRANCE Backhaul|Backhaul|EU137|UNITED KINGDOM|ULHC|FPA4|FRANCE|#N/A|10|Telstra International|In Service|Yes|Unable to reconcile against source|Unable to reconcile against source
